2,"INITIAL INITIAL FIRSTUPPER COMMA INITIAL INITIAL FIRSTUPPER COMMA INITIAL FIRSTUPPER","F.B. Abeles, P.W. Morgan, M. Saltveit"
1,"INITIAL INITIAL FIRSTUPPER COMMA INITIAL INITIAL FIRSTUPPER AND ALLLOWER","P.A. Taylor, J.L. Margot et al."
1,"FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER FIRSTUPPER COMMA INITIAL INITIAL FIRSTUPPER","[[Tom Gehrels]], Mildred Shapley Matthews, A. M. Schumann"
2,"INITIAL FIRSTUPPER FIRSTUPPER","H. Larry Ingle"
3,"FIRSTUPPER COMMA INITIAL PUNCTUATION FIRSTUPPER COMMA INITIAL INITIAL","Wiberg, E.; Holleman, A. F."
297,"FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER","Annie Lagueyrie, Philippe Maviel"
11,"FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER ALLLOWER MIXED","François Clément, Viton de Saint-Allais"
25,"MIXED FIRSTUPPER FIRSTUPPER ALLLOWER FIRSTUPPER","Marie-Paul Du Breil de Pontbriand"
7,"FIRSTUPPER FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER FIRSTUPPER","Oscar Nelson Allen, Ethel Kullmann Allen"
36,"FIRSTUPPER ALLLOWER FIRSTUPPER ALLLOWER FIRSTUPPER","[[Toussaint du Breil de Pontbriand]]"
11,"FIRSTUPPER INITIAL FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER","Frances H. Early, Kathleen Kennedy"
1,"FIRSTUPPER FIRSTUPPER COMMA MIXED FIRSTUPPER COMMA MIXED FIRSTUPPER","Michel Fartzoff, Évelyne Geny, Élisabeth Smadja"
4,"FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER AND FIRSTUPPER FIRSTUPPER","François Durpaire, [[André Kaspi]], Hélène Harter et Adrien Lherm"
19,"FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER","André Kaspi, François Durpaire, Hélène Harter, Adrien Lherm"
23,"FIRSTUPPER FIRSTUPPER ALLLOWER FIRSTUPPER","[[Amédée Guillotin de Corson|Abbé Guillotin de Corson]]"
12,"FIRSTUPPER FIRSTUPPER FIRSTUPPER FIRSTUPPER FIRSTUPPER","Mohamed El Aziz Ben Achour"
17,"FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER MIXED","Oliver Davies, Thomas O'Loughlin"
1,"FIRSTUPPER ALLLOWER FIRSTUPPER COMMA INITIAL INITIAL MIXED FIRSTUPPER","Philippe de Commynes, L. M. Émille Dupont"
1,"FIRSTUPPER ALLLOWER MIXED FIRSTUPPER","Frédéric de Gingins-La Sarra"
1,"FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER","Henry Méchoulan, Emmanuel Le Roy Ladurie, André Robinet"
1,"FIRSTUPPER FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER FIRSTUPPER FIRSTUPPER COMMA INITIAL FIRSTUPPER","Jean Baptiste Denisart, Jean Baptiste Franc̜ois Bayard, L. Calenge"
10,"MIXED FIRSTUPPER ALLLOWER FIRSTUPPER","École Biblique de Jérusalem"
1,"FIRSTUPPER ALLLOWER FIRSTUPPER COMMA FIRSTUPPER MIXED","Johann von Müller, Robert Glutz-Blozheim"
3,"FIRSTUPPER FIRSTUPPER FIRSTUPPER MIXED","Karl Heinrich Joseph Coeckelberghe-Duetzele"
77,"FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER","Andrzej Suchcitz, Ludwik Maik, Wojciech Rojek"
1,"FIRSTUPPER INITIAL FIRSTUPPER COMMA FIRSTUPPER INITIAL FIRSTUPPER COMMA MIXED","Richard J Chacon, David H Dye, SpringerLink"
1,"FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER FIRSTUPPER","Francis Bacon, James Spedding, Douglas Denon Heath, Robert Leslie Ellis"
1,"FIRSTUPPER FIRSTUPPER INITIAL FIRSTUPPER ALLLOWER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER","Jean Charles L. Simonde de Sismondi, Amédée Renée"
2,"MIXED FIRSTUPPER COMMA MIXED FIRSTUPPER","Henri-Pierre Maders, Jean-Luc Masselin"
1,"FIRSTUPPER FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER ALLLOWER ALLLOWER FIRSTUPPER FIRSTUPPER","José Fernando Ramírez, Ernesto de la Torre Villar"
1,"FIRSTUPPER FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER ALLLOWER FIRSTUPPER FIRSTUPPER","Manuel Pinheiro Chagas, José Maria de Sousa Monteiro"
1,"FIRSTUPPER FIRSTUPPER ALLUPPER FIRSTUPPER MIXED","Achille François É Jouffroy d'Abbans"
1,"FIRSTUPPER ALLLOWER FIRSTUPPER COMMA FIRSTUPPER ALLLOWER FIRSTUPPER","Philippe de Commines, Kervyn de Lettenhove"
1,"FIRSTUPPER FIRSTUPPER INITIAL ALLLOWER FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER","António Henrique R. de Oliveira Marques, Mário Soares"
23,"FIRSTUPPER INITIAL FIRSTUPPER COMMA FIRSTUPPER INITIAL FIRSTUPPER","Eugene P. Kiver, David V. Harris"
43,"FIRSTUPPER FIRSTUPPER FIRSTUPPER ALLLOWER FIRSTUPPER","[[Toussaint Du Breil de Pontbriand]]"
1,"FIRSTUPPER FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER ALLLOWER ALLLOWER FIRSTUPPER ALLLOWER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER ALLLOWER ALLLOWER FIRSTUPPER COMMA FIRSTUPPER ALLLOWER FIRSTUPPER FIRSTUPPER ALLLOWER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER","Joaquín Francisco Pacheco, Fermín de la Puente y Apezechea, Pedro Gómez de la Serna, Francesco de Paula Díaz y Mendoza, Gregorio López"
23,"FIRSTUPPER ALLLOWER FIRSTUPPER FIRSTUPPER","Charlotte e Peter Fiell"
7,"FIRSTUPPER ALLLOWER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER","Yves le Monnier, Alain Livory"
1,"FIRSTUPPER FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER ALLLOWER FIRSTUPPER MIXED","Paramita Rahayu Abdurachman, Lembaga Ilmu Pengetahuan Indonesia, Asosiasi Persahabatan dan Kerjasama Indonesia-Portugal"
21,FIRSTUPPER,Collectif
1,"FIRSTUPPER FIRSTUPPER FIRSTUPPER FIRSTUPPER ALLLOWER FIRSTUPPER FIRSTUPPER","Charles Germain Marie Bourel de La Roncière"
2,"FIRSTUPPER FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER ALLLOWER MIXED COMMA FIRSTUPPER FIRSTUPPER FIRSTUPPER FIRSTUPPER ALLLOWER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER FIRSTUPPER FIRSTUPPER FIRSTUPPER FIRSTUPPER FIRSTUPPER FIRSTUPPER FIRSTUPPER FIRSTUPPER MIXED","David Bailie Warden, Nicolas Viton de Saint-Allais, Jean Baptiste Pierre Jullien de Courcelles, Agricole Joseph François Xavier Pierre Esprit Simon Paul Antoine Fortia d'Urban"
25,"FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER FIRSTUPPER","Armin Vit, Bryony Gomez Palacio"
88,"FIRSTUPPER FIRSTUPPER FIRSTUPPER FIRSTUPPER","[[Jean Julien Michel Savary]]"
1,"INITIAL FIRSTUPPER FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER FIRSTUPPER","J. Carlos Vizuete Mendoza, Julio Martín Sánchez"
20,"FIRSTUPPER FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER","Didier Du Castel, Claude Estebe"
7,"MIXED FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER","Jean-Louis Hemptinne, Alexandra Magro, Michael Majerus"
7,"FIRSTUPPER INITIAL FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER INITIAL FIRSTUPPER","James D. Henderson, Helen Delpar, Maurice Philip Brungardt, Richard N. Weldon"
1,"FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER ALLLOWER FIRSTUPPER COMMA FIRSTUPPER ALLLOWER FIRSTUPPER","Louis Sicking, Harry de Bles, Erlend des Bouvrie"
8,"FIRSTUPPER INITIAL INITIAL FIRSTUPPER","David W. E. Willis"
1,"INITIAL FIRSTUPPER FIRSTUPPER FIRSTUPPER ALLLOWER FIRSTUPPER","F. Javier Villalba Ruíz de Toledo"
3,"MIXED FIRSTUPPER FIRSTUPPER FIRSTUPPER FIRSTUPPER","Émile Auguste Nicolas Jules Bégin"
42,"MIXED FIRSTUPPER ALLLOWER FIRSTUPPER FIRSTUPPER","[[Pierre-Suzanne Lucas de La Championnière]]"
2,"FIRSTUPPER ALLLOWER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER FIRSTUPPER","Claude de Vic, Joseph Vaisslete, Alexandre Du Mège"
1,"FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER FIRSTUPPER COMMA INITIAL ALLLOWER FIRSTUPPER","Hilda Pearson, James Douglas Pearson, E. van Donzel"
1,"FIRSTUPPER FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER ALLLOWER FIRSTUPPER","Johann Jakob Herzog, Armand de Mestral"
1,"FIRSTUPPER ALLLOWER FIRSTUPPER FIRSTUPPER FIRSTUPPER","María del Camino Fernández Giménez"
1,"FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER","Adrien Pascal,Brahaut,François Sicard"
1,"FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER COMMA MIXED ALLLOWER FIRSTUPPER FIRSTUPPER","Colette Nativel, Jacques Chomarat, Marie-Madeleine de La Garanderie"
3,"FIRSTUPPER FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER","Heinrich Joseph Wetzer, Benedikt Welte, Isidore Goschler"
2,"INITIAL INITIAL INITIAL FIRSTUPPER ALLLOWER FIRSTUPPER","J. C. L. Simonde de Sismondi"
2,"FIRSTUPPER FIRSTUPPER COMMA MIXED ALLLOWER FIRSTUPPER","Irène Terrel, Jean-Jacques de Félice"
2,"FIRSTUPPER MIXED COMMA MIXED FIRSTUPPER","[[Yann Arthus-Bertrand]], Jean-Louis Gouraud"
2,"FIRSTUPPER FIRSTUPPER ALLLOWER MIXED","[[Louis Vivien de Saint-Martin]]"
1,"FIRSTUPPER FIRSTUPPER COMMA INITIAL INITIAL INITIAL FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER FIRSTUPPER","Maureen Perrie, D. C. B. Lieven, Ronald Grigor Suny"
2,"FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER FIRSTUPPER ALLLOWER FIRSTUPPER ALLLOWER FIRSTUPPER","Du Cornet, Aimé Louis Philémon de Robaulx de Soumoy"
1,"FIRSTUPPER INITIAL INITIAL FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER","Jos. M. M. Hermans, Marc Nelissen"
1,"FIRSTUPPER FIRSTUPPER FIRSTUPPER ALLLOWER ALLLOWER FIRSTUPPER","Antoine Augustin Bruzen de la Martinière"
2,"FIRSTUPPER FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER ALLLOWER MIXED COMMA FIRSTUPPER FIRSTUPPER FIRSTUPPER FIRSTUPPER ALLLOWER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER FIRSTUPPER FIRSTUPPER FIRSTUPPER FIRSTUPPER FIRSTUPPER FIRSTUPPER FIRSTUPPER FIRSTUPPER MIXED COMMA FIRSTUPPER FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER","David Bailie Warden, Nicolas Viton de Saint-Allais, Jean Baptiste Pierre Jullien de Courcelles, Agricole Joseph François Xavier Pierre Esprit Simon Paul Antoine Fortia d'Urban, Maur François Dantine, Charles Clémencet, Ursin Durand, François Clément"
1,"INITIAL INITIAL FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER","J. B. Chrystin, Pierre Foppens"
1,"FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER INITIAL INITIAL FIRSTUPPER","Jacques Margeret, Chester S. L. Dunning"
1,"FIRSTUPPER ALLLOWER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER FIRSTUPPER","René de Lucinge, Michael John Heath"
42,"FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER INITIAL FIRSTUPPER","Hugh Cornell, Albert W. Hoveling"
1,"MIXED FIRSTUPPER ALLLOWER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER COMMA MIXED FIRSTUPPER ALLLOWER FIRSTUPPER COMMA INITIAL INITIAL INITIAL FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER","Anne-Gabriel Meusnier de Querlon, Alexandre Deleyre, Jacques-Philibert Rousselot de Surgy, J. P. J. Du Bois, John Green, Thomas Astley"
1,"FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER ALLLOWER FIRSTUPPER","Anthony Knivet, Ilda Mendes dos Santos"
216,"FIRSTUPPER FIRSTUPPER AND FIRSTUPPER FIRSTUPPER","Robert Sablayrolles et Argitxu Beyrie"
2,"MIXED FIRSTUPPER COMMA MIXED FIRSTUPPER COMMA FIRSTUPPER MIXED","[[Jean-Eugène Dezeimeris]], Charles-Prosper Ollivier, [[Jacques Raige-Delorme]]"
1,"FIRSTUPPER FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER FIRSTUPPER","Eugène Ernest Desplaces, Joseph Fr. Michaud, Louis Gabriel Michaud"
3,"FIRSTUPPER COMMA FIRSTUPPER COMMA FIRSTUPPER","Danforth, Chassman, Fe"
217,"MIXED FIRSTUPPER","Émile Gabory"
110,"FIRSTUPPER FIRSTUPPER FIRSTUPPER","Christian Le Boutellier"
80,"FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER COMMA MIXED FIRSTUPPER","Michel Philippe, Michel Durand, Jean-François Fabriol"
1,"FIRSTUPPER FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER","William Bayne Fisher, Yarshater, Ilya Gershevitch"
2,"FIRSTUPPER COMMA INITIAL COMMA FIRSTUPPER COMMA INITIAL AND FIRSTUPPER COMMA INITIAL","Dunstan, S., Badrocke, M. & Sarson, P."
5,"ALLUPPER FIRSTUPPER AND ALLUPPER FIRSTUPPER","VW Berninger et BJ Wolf"
6,"INITIAL INITIAL FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER FIRSTUPPER","J. G. Speight, Norbert Adolph Lange"
6,"FIRSTUPPER MIXED COMMA FIRSTUPPER FIRSTUPPER","Philippe Langenieux-Villard, Jean Guibal"
1,"MIXED ALLLOWER ALLLOWER ALLLOWER ALLLOWER","École pratique des hautes études"
1,"MIXED MIXED COMMA MIXED FIRSTUPPER","Jacques-Joseph Champollion-Figeac, Jean-François Champollion"
2,"FIRSTUPPER FIRSTUPPER FIRSTUPPER FIRSTUPPER ALLLOWER MIXED FIRSTUPPER FIRSTUPPER FIRSTUPPER MIXED","Auguste François Louis Scipion de Grimoard-Beauvoir Du Roure De Beaumont-Brison"
5,"FIRSTUPPER FIRSTUPPER COMMA INITIAL INITIAL FIRSTUPPER","Erik Spiekermann, E.M. Ginger"
2,"FIRSTUPPER ALLLOWER ALLLOWER ALLLOWER FIRSTUPPER FIRSTUPPER","Sous la direction de Jean Tulard"
1,"FIRSTUPPER FIRSTUPPER FIRSTUPPER ALLLOWER FIRSTUPPER AND FIRSTUPPER","British Museum. Dept. of Coins and Medals"
1,"FIRSTUPPER FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER FIRSTUPPER FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER ALLLOWER MIXED COMMA FIRSTUPPER FIRSTUPPER FIRSTUPPER FIRSTUPPER FIRSTUPPER FIRSTUPPER FIRSTUPPER FIRSTUPPER FIRSTUPPER FIRSTUPPER MIXED","David Baillie Warden, Jean Baptiste Pierre Jullien Courcelles, Nicolas Viton de Saint-Allais, Agricole Joseph François Xavier Pierre Esprit Simon Paul Antoine Fortia d'Urban"
1,"FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER FIRSTUPPER","Procope, François André Isambert"
